UNIT NAME,UNIT CODE,SETTLEMENT POINT NAME,FUEL,ZONE,YEAR,CAPACITY
FALCON HYDRO 3,FALCON_FALCONG3,FAL_FALCONG3,HYDRO,SOUTH,1954,12
GRANITE SHOALS HYDRO 1,WIRTZ_WIRTZ_G1,WIR_WIRTZ_G1,HYDRO,SOUTH,1951,29
GRANITE SHOALS HYDRO 2,WIRTZ_WIRTZ_G2,WIR_WIRTZ_G2,HYDRO,SOUTH,1951,29
GUADALUPE BLANCO RIVER AUTH-CANYON,CANYHY_CANYHYG1,#N/A,HYDRO,SOUTH,1989,6
INKS HYDRO 1,INKSDA_INKS_G1,INKS_INKS_G1,HYDRO,SOUTH,1938,14
MARBLE FALLS HYDRO 1,MARBFA_MARBFAG1,MARBFA,HYDRO,SOUTH,1951,21
MARBLE FALLS HYDRO 2,MARBFA_MARBFAG2,MARBFA,HYDRO,SOUTH,1951,20
MARSHALL FORD HYDRO 1,MARSFO_MARSFOG1,MAR_MARSFOG1,HYDRO,SOUTH,1941,34
MARSHALL FORD HYDRO 2,MARSFO_MARSFOG2,MAR_MARSFOG2,HYDRO,SOUTH,1941,36
MARSHALL FORD HYDRO 3,MARSFO_MARSFOG3,MAR_MARSFOG3,HYDRO,SOUTH,1941,36
WHITNEY DAM HYDRO,WND_WHITNEY1,WND_WHITNEY,HYDRO,NORTH,1953,22
WHITNEY DAM HYDRO 2,WND_WHITNEY2,WND_WHITNEY,HYDRO,NORTH,1953,22
ARLINGTON OUTLET HYDROELECTRIC FACILITY,DG_OAKHL_1UNIT,#N/A,HYDRO,NORTH,2014,1.4
GUADALUPE BLANCO RIVER AUTH-LAKEWOOD TAP,DG_LKWDT_2UNITS,#N/A,HYDRO,SOUTH,1931,4.8
GUADALUPE BLANCO RIVER AUTH-MCQUEENEY,DG_MCQUE_5UNITS,#N/A,HYDRO,SOUTH,1928,7.7
GUADALUPE BLANCO RIVER AUTH-SCHUMANSVILLE,DG_SCHUM_2UNITS,#N/A,HYDRO,SOUTH,1928,3.6
LEWISVILLE HYDRO-CITY OF GARLAND,DG_LWSVL_1UNIT,#N/A,HYDRO,NORTH,1991,2.2
ANTELOPE IC 1,AEEC_ANTLP_1,AEEC,GAS-IC,PANHANDLE,2016,56
ANTELOPE IC 2,AEEC_ANTLP_2,AEEC,GAS-IC,PANHANDLE,2016,56
ANTELOPE IC 3,AEEC_ANTLP_3,AEEC,GAS-IC,PANHANDLE,2016,56
ELK STATION CTG 1,AEEC_ELK_1,AEEC,GAS-GT,PANHANDLE,2016,195
ELK STATION CTG 2,AEEC_ELK_2,AEEC,GAS-GT,PANHANDLE,2016,195
TENASKA FRONTIER STATION CTG 1,FTR_FTR_G1,FTR_FTR_G1_4,GAS-CC,NORTH,2000,180
TENASKA FRONTIER STATION CTG 2,FTR_FTR_G2,FTR_FTR_G1_4,GAS-CC,NORTH,2000,180
TENASKA FRONTIER STATION CTG 3,FTR_FTR_G3,FTR_FTR_G1_4,GAS-CC,NORTH,2000,180
TENASKA FRONTIER STATION STG 4,FTR_FTR_G4,FTR_FTR_G1_4,GAS-CC,NORTH,2000,400
TENASKA GATEWAY STATION CTG 1,TGCCS_CT1,TGCCS_ALL,GAS-CC,NORTH,2001,162
TENASKA GATEWAY STATION CTG 2,TGCCS_CT2,TGCCS_ALL,GAS-CC,NORTH,2001,179
TENASKA GATEWAY STATION CTG 3,TGCCS_CT3,TGCCS_ALL,GAS-CC,NORTH,2001,178
TENASKA GATEWAY STATION STG 4,TGCCS_UNIT4,TGCCS_ALL,GAS-CC,NORTH,2001,389
TENASKA KIAMICHI STATION 1CT101,KMCHI_1CT101,VLSES_UNIT3,GAS-CC,NORTH,2003,154
TENASKA KIAMICHI STATION 1CT201,KMCHI_1CT201,VLSES_UNIT3,GAS-CC,NORTH,2003,151
TENASKA KIAMICHI STATION 1ST,KMCHI_1ST,VLSES_UNIT3,GAS-CC,NORTH,2003,312
