ResourceName,SettlementPointName,ResourceType
INDNNWP_INDNNWP2,INDN_INDNNWP,WIND
JUNO_UNIT1,JUNO_ALL,PVGR
JUNO_UNIT2,JUNO_ALL,PVGR
KARAKAW1_UNIT1,KARAKAW1_1,WIND
KARAKAW1_UNIT2,KARAKAW1_1,WIND
KARAKAW2_UNIT3,KARAKAW2_1,WIND
KEECHI_U1,KEECHI_U1,WIND
KELAM_SL_UNIT1,KELAMSL_U1,PVGR
KEO_KEO_SM1,KEO_KEO_SM1,WIND
KEO_SHRBINO2,KEO_KEO_SM1,WIND
KING_NE_KINGNE,KINGE_ALL,WIND
KING_NE_KINGNE,KING_KINGNE,WIND
KING_NW_KINGNW,KING_KINGNW,WIND
KING_NW_KINGNW,KINGW_ALL,WIND
KING_SE_KINGSE,KING_KINGSE,WIND
KING_SE_KINGSE,KINGE_ALL,WIND
KING_SW_KINGSW,KING_KINGSW,WIND
KING_SW_KINGSW,KINGW_ALL,WIND
LAPETUS_UNIT_1,LAPETUS_U1,PVGR
LASSO_UNIT1,LASSO_GEN,PVGR
LGD_LANGFORD,LGD_LANGFORD,WIND
LGDRAW_S_UNIT1_1,LGDRAW_S_ALL,PVGR
LGDRAW_S_UNIT1_2,LGDRAW_S_ALL,PVGR
LGW_UNIT1,LGW_UNIT_ALL,WIND
LGW_UNIT2,LGW_UNIT_ALL,WIND
LHORN_N_UNIT1,LHORN_N_U1_2,WIND
LHORN_N_UNIT2,LHORN_N_U1_2,WIND
LILY_SOLAR1,LILY_RN,PVGR
LMAJADAS_UNIT1,LMAJADAS_ALL,WIND
LMAJADAS_UNIT2,LMAJADAS_ALL,WIND
LMAJADAS_UNIT3,LMAJADAS_ALL,WIND
LMESASLR_IVORY,LAMESASLR_G,PVGR
LMESASLR_UNIT1,LAMESASLR_G,PVGR
LNCRK_G83,LNCRK_ALL,WIND
LNCRK2_G871,LNCRK_ALL,WIND
LNCRK2_G872,LNCRK_ALL,WIND
LOCKETT_UNIT1,ELECTRAW_1_2,WIND
LONEWOLF_G1,LONEWOLF_ALL,WIND
LONEWOLF_G2,LONEWOLF_ALL,WIND
LONEWOLF_G3,LONEWOLF_ALL,WIND
LONEWOLF_G4,LONEWOLF_ALL,WIND
LV1_LV1A,LV1A_LV1B,WIND
LV1_LV1B,LV1A_LV1B,WIND
LV2_LV2,LV1A_LV1B,WIND
LV3_UNIT_1,LV3_UNIT1,WIND
LV4_UNIT_1,LV4_UNIT_1,WIND
LV5_UNIT_1,LV5_UNIT1,WIND
MARIAH_NORTE1,MARIAH_ALL,WIND
MARIAH_NORTE2,MARIAH_ALL,WIND
MARYNEAL_UNIT1,SWTWN4_WND45,WIND
MAVCRK_E_UNIT5,MAVCRK_W_ALL,WIND
MAVCRK_E_UNIT6,MAVCRK_W_ALL,WIND
MAVCRK_E_UNIT7,MAVCRK_W_ALL,WIND
MAVCRK_E_UNIT8,MAVCRK_W_ALL,WIND
MAVCRK_E_UNIT9,MAVCRK_W_ALL,WIND
MAVCRK_W_UNIT1,MAVCRK_W_ALL,WIND
MAVCRK_W_UNIT2,MAVCRK_W_ALL,WIND
MAVCRK_W_UNIT3,MAVCRK_W_ALL,WIND
MAVCRK_W_UNIT4,MAVCRK_W_ALL,WIND
MCDLD_FCW1,MCDLD_FCSBW1,WIND
MCDLD_SBW1,MCDLD_FCSBW1,WIND
MESQCRK_WND1,MESQCRK_ALL,WIND
MESQCRK_WND2,MESQCRK_ALL,WIND
MESTENO_UNIT_1,MESTENO_RN,WIND
MIAM1_G1,MIAM1_G1_G2,WIND
MIAM1_G2,MIAM1_G1_G2,WIND
MIDWIND_UNIT1,WHITE_PT_UN1,WIND
MIRASOLE_MIR11,MIRASOLE_GEN,WIND
MIRASOLE_MIR12,MIRASOLE_GEN,WIND
MIRASOLE_MIR13,MIRASOLE_GEN,WIND
MIRASOLE_MIR21,MIRASOLE_GEN,WIND
MISAE_UNIT1,MISAE_GEN_RN,PVGR
MISAE_UNIT2,MISAE_GEN_RN,PVGR
MOZART_WIND_1,MOZART_WIND1,WIND
MWEC_G1,MWEC_G1,WIND
NBOHR_UNIT1,NBOHR_RN,WIND
NWF_NWF1,NWF_NWF1,WIND
NWF_NWF2,NWF_NWF1,WIND
OBERON_UNIT_1_J01,OBERON_U1,PVGR
OBERON_UNIT_1_J02,OBERON_U1,PVGR
